Programa,Subprograma,Presupuesto_programa_recursos_propios,Presupuesto_subprograma_recursos_propios,Presupuesto_programa_transferencias,Presupuesto_subprograma_transferencias
Programa cobertura y permanencia con enfoque en cierre de brechas,Subprograma acceso y permanencia,9263576326,9248576536,239488666312,13164850650
Programa cobertura y permanencia con enfoque en cierre de brechas,Subprograma fortalecimiento de la educación inicial,9263576326,15000000,239488666312,0
Programa cobertura y permanencia con enfoque en cierre de brechas,Subprograma atención a la población vulnerable,9263576326,0,239488666312,226323815662
Programa educación de calidad pertienente e incluyente en educación inicial; básica y media,Excelencia docente,10947361600,0,175100000,35000000
Programa educación de calidad pertienente e incluyente en educación inicial; básica y media,Implementación de la jornada única,10947361600,0,175100000,35000000
Programa educación de calidad pertienente e incluyente en educación inicial; básica y media,Subprograma apoyo a la gestión escolar,10947361600,525000000,175100000,35100000
Programa educación de calidad pertienente e incluyente en educación inicial; básica y media,Hacia un Caldas bilingüe,10947361600,0,175100000,35000000
Programa educación de calidad pertienente e incluyente en educación inicial; básica y media,Subprograma etnoeducación,10947361600,50000000,175100000,35000000
Programa educación de calidad pertienente e incluyente en educación inicial; básica y media,Subprograma mejoramiento de ambientes escolares,10947361600,10302361600,175100000,0
Programa innovación educativa apoyada en investigación y uso de las tecnologías de la información y comunicación - TIC,Subprograma incorporación de las TIC y la investigación en las prácticas pedagógicas,62200000,62200000,1702000000,0
Programa innovación educativa apoyada en investigación y uso de las tecnologías de la información y comunicación - TIC,Conectividad de establecimientos educativos,62200000,0,1702000000,1702000000
Programa articulación de la educación media con la educación terciaria en condiciones de acceso; calidad y pertinencia,Subprograma articulación de la educación media con la educación terciaria,1111000000,1111000000,2244984657,2244984657
